time,nose_x,nose_y,nose_z,nose_confidence,left_eye_inner_x,left_eye_inner_y,left_eye_inner_z,left_eye_inner_confidence,left_eye_x,left_eye_y,left_eye_z,left_eye_confidence,left_eye_outer_x,left_eye_outer_y,left_eye_outer_z,left_eye_outer_confidence,right_eye_inner_x,right_eye_inner_y,right_eye_inner_z,right_eye_inner_confidence,right_eye_x,right_eye_y,right_eye_z,right_eye_confidence,right_eye_outer_x,right_eye_outer_y,right_eye_outer_z,right_eye_outer_confidence,left_ear_x,left_ear_y,left_ear_z,left_ear_confidence,right_ear_x,right_ear_y,right_ear_z,right_ear_confidence,left_mouth_x,left_mouth_y,left_mouth_z,left_mouth_confidence,right_mouth_x,right_mouth_y,right_mouth_z,right_mouth_confidence,left_shoulder_x,left_shoulder_y,left_shoulder_z,left_shoulder_confidence,right_shoulder_x,right_shoulder_y,right_shoulder_z,right_shoulder_confidence,left_elbow_x,left_elbow_y,left_elbow_z,left_elbow_confidence,right_elbow_x,right_elbow_y,right_elbow_z,right_elbow_confidence,left_wrist_x,left_wrist_y,left_wrist_z,left_wrist_confidence,right_wrist_x,right_wrist_y,right_wrist_z,right_wrist_confidence,left_pinky_x,left_pinky_y,left_pinky_z,left_pinky_confidence,right_pinky_x,right_pinky_y,right_pinky_z,right_pinky_confidence,left_index_x,left_index_y,left_index_z,left_index_confidence,right_index_x,right_index_y,right_index_z,right_index_confidence,left_thumb_x,left_thumb_y,left_thumb_z,left_thumb_confidence,right_thumb_x,right_thumb_y,right_thumb_z,right_thumb_confidence,left_hip_x,left_hip_y,left_hip_z,left_hip_confidence,right_hip_x,right_hip_y,right_hip_z,right_hip_confidence,left_knee_x,left_knee_y,left_knee_z,left_knee_confidence,right_knee_x,right_knee_y,right_knee_z,right_knee_confidence,left_ankle_x,left_ankle_y,left_ankle_z,left_ankle_confidence,right_ankle_x,right_ankle_y,right_ankle_z,right_ankle_confidence,left_heel_x,left_heel_y,left_heel_z,left_heel_confidence,right_heel_x,right_heel_y,right_heel_z,right_heel_confidence,left_foot_index_x,left_foot_index_y,left_foot_index_z,left_foot_index_confidence,right_foot_index_x,right_foot_index_y,right_foot_index_z,right_foot_index_confidence,ground_truth,person_id,video_label
0 days 00:00:00,0.4961492717266083,0.3094794452190399,-0.396005243062973,0.9999858140945435,0.5091396570205688,0.28667476773262024,-0.36893412470817566,0.9999576807022095,0.516135573387146,0.2870655059814453,-0.36904120445251465,0.9999617338180542,0.5233771800994873,0.28772205114364624,-0.3691420257091522,0.9999527931213379,0.4840562045574188,0.2878260016441345,-0.37411874532699585,0.9999597072601318,0.4760700464248657,0.2887311577796936,-0.3741667866706848,0.9999648332595825,0.4686039090156555,0.29020005464553833,-0.37434640526771545,0.9999562501907349,0.5328211188316345,0.3011801838874817,-0.20617897808551788,0.9999511241912842,0.4579155445098877,0.30163705348968506,-0.22818374633789062,0.9999687671661377,0.5098341107368469,0.33753329515457153,-0.3334701955318451,0.9999936819076538,0.48063403367996216,0.3368220329284668,-0.34000882506370544,0.9999933242797852,0.5933851003646851,0.4743836224079132,-0.10870317369699478,0.999976634979248,0.3968268036842346,0.4663535952568054,-0.16296912729740143,0.9998892545700073,0.6188673973083496,0.6734237670898438,-0.0022606607526540756,0.9982917904853821,0.35560327768325806,0.672089159488678,-0.11996205151081085,0.9961979985237122,0.6279079914093018,0.850737988948822,-0.09998776763677597,0.9974572062492371,0.35417234897613525,0.8612975478172302,-0.22559085488319397,0.9907524585723877,0.6329017877578735,0.9076576232910156,-0.14385497570037842,0.9934188723564148,0.34659677743911743,0.9219273924827576,-0.25949010252952576,0.9757688641548157,0.6179824471473694,0.9036360383033752,-0.1799056977033615,0.9943970441818237,0.3655166029930115,0.9193636178970337,-0.31020796298980713,0.9795874357223511,0.6110231876373291,0.8885015845298767,-0.11486366391181946,0.995043158531189,0.3728770613670349,0.8986968994140625,-0.24571920931339264,0.9816575050354004,0.5486267805099487,0.8304122686386108,0.013665329664945602,0.9996011853218079,0.4263010621070862,0.8334993720054626,-0.013049458153545856,0.9992167949676514,0.5401946902275085,1.1064907312393188,-0.08089383691549301,0.7302212715148926,0.4148743152618408,1.1066994667053223,0.036760520190000534,0.5500185489654541,0.5396730899810791,1.2997137308120728,0.4247596263885498,0.018925897777080536,0.41350916028022766,1.302049160003662,0.4533677101135254,0.021480251103639603,0.5412362217903137,1.3282294273376465,0.46825265884399414,0.022563163191080093,0.4116501212120056,1.3330721855163574,0.4914100170135498,0.016897715628147125,0.5289449095726013,1.3912737369537354,0.3175702393054962,0.008351591415703297,0.4251149892807007,1.3867294788360596,0.3099086582660675,0.011077272705733776,idle,ahad,swipe_right
0 days 00:00:00.033333333,0.49748116731643677,0.3104552626609802,-0.4010498523712158,0.9999864101409912,0.5100498199462891,0.28740593791007996,-0.37471479177474976,0.9999603033065796,0.5166150331497192,0.28774547576904297,-0.3747413158416748,0.9999637007713318,0.5238329172134399,0.2883094251155853,-0.374783992767334,0.9999555945396423,0.4851144254207611,0.2880323529243469,-0.37870222330093384,0.999962329864502,0.4765167236328125,0.28882238268852234,-0.3786715567111969,0.9999668002128601,0.4691203832626343,0.2902037501335144,-0.3788132667541504,0.9999591112136841,0.5330333709716797,0.3011883497238159,-0.21258412301540375,0.9999532103538513,0.45799121260643005,0.30164772272109985,-0.23093558847904205,0.999970555305481,0.5108714699745178,0.3385901153087616,-0.33924832940101624,0.9999939203262329,0.4816734194755554,0.33949553966522217,-0.34436729550361633,0.9999936819076538,0.5934345722198486,0.4743472635746002,-0.11824729293584824,0.9999768733978271,0.39698895812034607,0.46585777401924133,-0.17130570113658905,0.9998956918716431,0.6190313100814819,0.6747027039527893,-0.02656872570514679,0.998083233833313,0.35586899518966675,0.6713980436325073,-0.15023855865001678,0.996320366859436,0.6280885934829712,0.8534076809883118,-0.1387287676334381,0.9973142743110657,0.354449599981308,0.8608502745628357,-0.27154406905174255,0.9909791946411133,0.6334896683692932,0.9091536998748779,-0.18519027531147003,0.9931150674819946,0.34702348709106445,0.9210262298583984,-0.3149077296257019,0.9763873219490051,0.6180790066719055,0.9070908427238464,-0.22877061367034912,0.9941274523735046,0.36686626076698303,0.9188228249549866,-0.3597447872161865,0.9800843596458435,0.6113286018371582,0.8898239135742188,-0.15711872279644012,0.9947559833526611,0.3740314245223999,0.8984127640724182,-0.29048171639442444,0.981969952583313,0.5487974882125854,0.8376399874687195,0.01340643223375082,0.9995641708374023,0.4262962341308594,0.8404556512832642,-0.012770229019224644,0.9991897940635681,0.5383896827697754,1.1106717586517334,-0.07567964494228363,0.7153337597846985,0.4173073172569275,1.1078987121582031,0.03521851822733879,0.5396048426628113,0.5343449711799622,1.3126111030578613,0.3694929778575897,0.02004190720617771,0.415250301361084,1.3176032304763794,0.37723925709724426,0.023023823276162148,0.5336126089096069,1.339520812034607,0.40573588013648987,0.023567644879221916,0.41362130641937256,1.3473581075668335,0.40662482380867004,0.017112519592046738,0.5245680212974548,1.4059274196624756,0.2483183592557907,0.009275363758206367,0.42740488052368164,1.406968593597412,0.20963360369205475,0.01172600220888853,swipe_right,ahad,swipe_right
0 days 00:00:00.066666667,0.4983629286289215,0.3113049566745758,-0.3963245451450348,0.9999869465827942,0.510689377784729,0.2878926992416382,-0.37106630206108093,0.999962568283081,0.5170506834983826,0.28819817304611206,-0.3710553050041199,0.9999654293060303,0.5242975354194641,0.28873029351234436,-0.37106409668922424,0.9999580383300781,0.48566725850105286,0.288091778755188,-0.3740302324295044,0.9999645948410034,0.4767124652862549,0.2888268530368805,-0.37396323680877686,0.9999685287475586,0.4693630337715149,0.29016929864883423,-0.3740858733654022,0.9999616146087646,0.5332727432250977,0.3012523949146271,-0.21251331269741058,0.9999549388885498,0.45800328254699707,0.30164405703544617,-0.2278374284505844,0.9999721050262451,0.511551558971405,0.3398454487323761,-0.3365148603916168,0.9999940991401672,0.48228123784065247,0.3413049876689911,-0.34034261107444763,0.9999939799308777,0.593432605266571,0.4743374288082123,-0.12086740881204605,0.9999770522117615,0.39704540371894836,0.4656113088130951,-0.17078690230846405,0.9999008774757385,0.6190695762634277,0.6752113103866577,-0.0348760262131691,0.9979121088981628,0.3561345040798187,0.6711986064910889,-0.15398964285850525,0.9964175820350647,0.6281049847602844,0.8548398613929749,-0.14444689452648163,0.9972301721572876,0.3548504710197449,0.860747754573822,-0.2744923233985901,0.9911423921585083,0.6338037252426147,0.910124659538269,-0.19030579924583435,0.992943525314331,0.3477727174758911,0.9209012389183044,-0.3176323175430298,0.976857602596283,0.6182053089141846,0.9092333912849426,-0.233704075217247,0.993971049785614,0.36820825934410095,0.9187265634536743,-0.3614162504673004,0.9804534316062927,0.6115927696228027,0.8908703923225403,-0.16268007457256317,0.9945788383483887,0.37521126866340637,0.8983532786369324,-0.2931728661060333,0.9821861386299133,0.5491375923156738,0.8406428098678589,0.012525126338005066,0.9995348453521729,0.4262939393520355,0.8436326384544373,-0.011875306256115437,0.9991664290428162,0.5363960266113281,1.1126246452331543,-0.07252395153045654,0.7060949206352234,0.4178444445133209,1.1084647178649902,0.039745353162288666,0.5334191918373108,0.5299783945083618,1.3171991109848022,0.3513675034046173,0.021504169330000877,0.4155213534832001,1.3222578763961792,0.3799862861633301,0.024957090616226196,0.5282592177391052,1.3438925743103027,0.38642796874046326,0.025049448013305664,0.41411012411117554,1.3517341613769531,0.40949270129203796,0.01758849434554577,0.5205816626548767,1.4111133813858032,0.23138804733753204,0.01040231715887785,0.4276827871799469,1.413090467453003,0.21712441742420197,0.012554320506751537,swipe_right,ahad,swipe_right
0 days 00:00:00.100000,0.49902188777923584,0.3118568956851959,-0.3965543806552887,0.9999874234199524,0.5113367438316345,0.28812888264656067,-0.37140360474586487,0.9999645948410034,0.5176073908805847,0.2884232699871063,-0.37138402462005615,0.9999669790267944,0.5249574184417725,0.28892987966537476,-0.371391236782074,0.99996018409729,0.48615574836730957,0.28810855746269226,-0.3742655813694,0.999966561794281,0.4768962264060974,0.28882595896720886,-0.3741860091686249,0.9999699592590332,0.469587117433548,0.29011502861976624,-0.3743038773536682,0.9999637007713318,0.5336033701896667,0.301268994808197,-0.21293063461780548,0.999956488609314,0.4580336809158325,0.3016422390937805,-0.2278839349746704,0.9999733567237854,0.5120464563369751,0.3405308723449707,-0.3367270231246948,0.9999942779541016,0.48271623253822327,0.3423754572868347,-0.34045958518981934,0.9999942183494568,0.5934104919433594,0.47422918677330017,-0.12289270013570786,0.9999776482582092,0.3971286416053772,0.4652099311351776,-0.17130552232265472,0.9999055862426758,0.6190301179885864,0.6752068400382996,-0.03447859361767769,0.9977791905403137,0.3566553294658661,0.6711845993995667,-0.15736450254917145,0.9964748024940491,0.6280778050422668,0.855076789855957,-0.14303641021251678,0.9971801042556763,0.3555784523487091,0.860748827457428,-0.27959659695625305,0.991234540939331,0.6339550018310547,0.9104490876197815,-0.18888311088085175,0.9928371906280518,0.34923219680786133,0.9208967089653015,-0.323540598154068,0.977138876914978,0.618303656578064,0.9102724194526672,-0.23314236104488373,0.9938822388648987,0.3698464632034302,0.9187271595001221,-0.36831337213516235,0.9806768298149109,0.6117360591888428,0.89142245054245,-0.16150878369808197,0.9944589734077454,0.3765856623649597,0.8983572721481323,-0.2987465560436249,0.9822665452957153,0.549221932888031,0.8423722982406616,0.011913184076547623,0.9995056390762329,0.4261360168457031,0.8451728820800781,-0.011224412359297276,0.9991346597671509,0.5350971817970276,1.1143890619277954,-0.07119643688201904,0.6937447786331177,0.4179118275642395,1.1090518236160278,0.05041121318936348,0.5212662816047668,0.5273995995521545,1.3212875127792358,0.3469635844230652,0.022279633209109306,0.41551312804222107,1.3246970176696777,0.39588627219200134,0.025615889579057693,0.5254096388816833,1.3486666679382324,0.38164135813713074,0.02581786923110485,0.4140925407409668,1.354504108428955,0.4269547462463379,0.017552979290485382,0.5177609324455261,1.4149397611618042,0.2207658886909485,0.011100846342742443,0.4276622533798218,1.4159132242202759,0.23345014452934265,0.012843381613492966,swipe_right,ahad,swipe_right
0 days 00:00:00.133333333,0.499038428068161,0.3119983375072479,-0.40124747157096863,0.999987781047821,0.5114672183990479,0.28817880153656006,-0.3759671151638031,0.9999663233757019,0.5177125334739685,0.28848472237586975,-0.3759421408176422,0.9999682307243347,0.5250450968742371,0.28897079825401306,-0.37595134973526,0.9999620318412781,0.4862164258956909,0.2880891263484955,-0.37855589389801025,0.9999682307243347,0.4769138693809509,0.2887531518936157,-0.37846076488494873,0.9999711513519287,0.4696398675441742,0.2899070084095001,-0.37857499718666077,0.999965488910675,0.5337433815002441,0.3012627363204956,-0.21536961197853088,0.9999577403068542,0.458046019077301,0.30149906873703003,-0.22906355559825897,0.9999743700027466,0.5120699405670166,0.340698778629303,-0.340372234582901,0.9999943971633911,0.4827238917350769,0.3425815999507904,-0.3437163829803467,0.9999943971633911,0.5933942794799805,0.47386234998703003,-0.12333948910236359,0.9999781250953674,0.39715033769607544,0.46485355496406555,-0.17134356498718262,0.9999099373817444,0.6189579963684082,0.6745010018348694,-0.0321340411901474,0.9976692199707031,0.3570749759674072,0.671173632144928,-0.1547655612230301,0.9965237379074097,0.6280847787857056,0.8550435900688171,-0.14337292313575745,0.9971362352371216,0.3559257388114929,0.8607712388038635,-0.2784901559352875,0.9913376569747925,0.6342164874076843,0.9103689193725586,-0.18966983258724213,0.9927368760108948,0.3498448431491852,0.9208980202674866,-0.3227577805519104,0.9774429798126221,0.6188387274742126,0.9102163910865784,-0.23517443239688873,0.9937941431999207,0.37035664916038513,0.9187360405921936,-0.36903542280197144,0.9809169769287109,0.6123073101043701,0.8914130926132202,-0.162399023771286,0.9943407773971558,0.3769909739494324,0.8983626961708069,-0.29820966720581055,0.982361376285553,0.5492231249809265,0.8427490592002869,0.011614920571446419,0.999481737613678,0.42593061923980713,0.8455618023872375,-0.010915820486843586,0.9991132020950317,0.5343234539031982,1.1153349876403809,-0.07058383524417877,0.6818969249725342,0.41802436113357544,1.1093297004699707,0.049498550593853,0.5112286806106567,0.5266327261924744,1.3229342699050903,0.35338011384010315,0.022993240505456924,0.4155117869377136,1.326233983039856,0.3951600193977356,0.026434699073433876,0.5247312188148499,1.3503868579864502,0.38891687989234924,0.026435747742652893,0.4141034185886383,1.3561608791351318,0.4256846308708191,0.017630206421017647,0.5168709754943848,1.4162158966064453,0.22620996832847595,0.011713714338839054,0.4276679754257202,1.417108416557312,0.2274666577577591,0.013210633769631386,swipe_right,ahad,swipe_right
0 days 00:00:00.166666667,0.4991821050643921,0.31204092502593994,-0.39280059933662415,0.9999882578849792,0.5117534399032593,0.28817883133888245,-0.3680802285671234,0.9999681115150452,0.5179406404495239,0.2884860336780548,-0.36805611848831177,0.9999696612358093,0.5252857208251953,0.28896793723106384,-0.36806339025497437,0.9999639987945557,0.486471027135849,0.2880097031593323,-0.37017473578453064,0.9999699592590332,0.47701123356819153,0.28861990571022034,-0.37007397413253784,0.9999725222587585,0.4697556793689728,0.2896287143230438,-0.3701842427253723,0.9999673962593079,0.5338960886001587,0.3012188971042633,-0.2108587920665741,0.9999592900276184,0.45806431770324707,0.3012729585170746,-0.22182276844978333,0.9999756813049316,0.5121694207191467,0.3408254086971283,-0.3332504332065582,0.9999945759773254,0.4827786087989807,0.34271949529647827,-0.3358672261238098,0.9999946355819702,0.5933914184570312,0.4734888970851898,-0.12229981273412704,0.9999785423278809,0.3971570134162903,0.46458402276039124,-0.16835257411003113,0.9999139904975891,0.6189401745796204,0.6744384765625,-0.029958270490169525,0.9976053833961487,0.3573375642299652,0.6712697744369507,-0.15206189453601837,0.9966378211975098,0.6285605430603027,0.8543157577514648,-0.1390599012374878,0.9971562027931213,0.3560778796672821,0.8608506321907043,-0.2751522958278656,0.9916641712188721,0.635775089263916,0.9097316861152649,-0.18496297299861908,0.9928186535835266,0.35005998611450195,0.9209205508232117,-0.3192732632160187,0.9782986044883728,0.6209455728530884,0.9101571440696716,-0.22802148759365082,0.9938542246818542,0.3705466389656067,0.918759286403656,-0.3649388551712036,0.9816113710403442,0.6141627430915833,0.8912534117698669,-0.15700937807559967,0.9943832159042358,0.37716132402420044,0.8984023332595825,-0.2947039306163788,0.9829314351081848,0.5492314696311951,0.8430001735687256,0.011443153023719788,0.9994817972183228,0.4258551001548767,0.8457468748092651,-0.010745404288172722,0.9991236329078674,0.5342777371406555,1.116052508354187,-0.06672275066375732,0.673258900642395,0.4180312156677246,1.1097278594970703,0.05004047229886055,0.5077281594276428,0.5271388292312622,1.3239532709121704,0.35874396562576294,0.023306503891944885,0.41552799940109253,1.326837420463562,0.3940540552139282,0.02719014696776867,0.5255584120750427,1.351152777671814,0.3947593569755554,0.02676972933113575,0.41414305567741394,1.3564488887786865,0.4246770143508911,0.01763366349041462,0.5173175930976868,1.4173425436019897,0.23646460473537445,0.011989002116024494,0.4278525412082672,1.417985200881958,0.23033763468265533,0.013443193398416042,swipe_right,ahad,swipe_right
0 days 00:00:00.200000,0.4991765320301056,0.31217262148857117,-0.3885192573070526,0.9999887347221375,0.5118305683135986,0.2881763279438019,-0.3645809292793274,0.9999698400497437,0.5180045366287231,0.2884873151779175,-0.3645622730255127,0.9999709725379944,0.5253583192825317,0.2889620065689087,-0.36457204818725586,0.9999658465385437,0.48649221658706665,0.28795069456100464,-0.36603593826293945,0.9999716281890869,0.4770139157772064,0.2885359227657318,-0.3659411072731018,0.9999738335609436,0.46977826952934265,0.289426326751709,-0.366055428981781,0.9999692440032959,0.534128725528717,0.3012162744998932,-0.2103659063577652,0.9999607801437378,0.4580764174461365,0.30122631788253784,-0.218531996011734,0.9999769330024719,0.5121784806251526,0.3410920202732086,-0.3302455544471741,0.9999947547912598,0.4827635884284973,0.3430076837539673,-0.3319871425628662,0.9999948740005493,0.5933763384819031,0.4732713997364044,-0.1219949722290039,0.9999787211418152,0.39718785881996155,0.4644356071949005,-0.1668015867471695,0.9999176263809204,0.6189672350883484,0.6744500994682312,-0.029364055022597313,0.997542679309845,0.35746529698371887,0.6717689037322998,-0.15089790523052216,0.9967455863952637,0.6299798488616943,0.8542187213897705,-0.1365947276353836,0.9971597194671631,0.3560987114906311,0.8610326051712036,-0.27356675267219543,0.9919723868370056,0.6388535499572754,0.9097603559494019,-0.18285347521305084,0.992861807346344,0.3500708341598511,0.920967161655426,-0.3170603811740875,0.9791005253791809,0.624863862991333,0.9103591442108154,-0.22447356581687927,0.9938796162605286,0.3705506920814514,0.9188098907470703,-0.3625377118587494,0.9822606444358826,0.6174420714378357,0.8913934826850891,-0.15408821403980255,0.9943997859954834,0.3771875500679016,0.8985300064086914,-0.29302531480789185,0.9834734797477722,0.5492871403694153,0.8430187106132507,0.011031567119061947,0.9994809031486511,0.4258425831794739,0.8460081815719604,-0.010338917374610901,0.9991329312324524,0.534567654132843,1.1170673370361328,-0.06581046432256699,0.6665225625038147,0.41817939281463623,1.1106582880020142,0.05472439527511597,0.5066207647323608,0.5281820297241211,1.3260716199874878,0.35151809453964233,0.023669376969337463,0.4156530499458313,1.3288142681121826,0.39589613676071167,0.028033025562763214,0.5264807343482971,1.3533272743225098,0.38635972142219543,0.027105526998639107,0.41432687640190125,1.3583482503890991,0.4265267848968506,0.017670799046754837,0.5185868144035339,1.4198029041290283,0.22974830865859985,0.01225990243256092,0.4281390309333801,1.4203134775161743,0.23455138504505157,0.013687205500900745,swipe_right,ahad,swipe_right
0 days 00:00:00.233333333,0.49917250871658325,0.31223422288894653,-0.39998316764831543,0.9999889731407166,0.5119157433509827,0.28813138604164124,-0.3766363561153412,0.9999710321426392,0.5180692076683044,0.2884572446346283,-0.37661194801330566,0.9999718070030212,0.5254368782043457,0.2889040410518646,-0.3766234517097473,0.999967098236084,0.48653799295425415,0.2878357768058777,-0.37794822454452515,0.9999728202819824,0.47703009843826294,0.28839465975761414,-0.3778565526008606,0.9999747276306152,0.4698280096054077,0.28919705748558044,-0.3779744803905487,0.9999706149101257,0.5343498587608337,0.3011702597141266,-0.2215362787246704,0.9999616146087646,0.4580913782119751,0.3012048900127411,-0.22848255932331085,0.9999778270721436,0.5122324228286743,0.34124755859375,-0.3409484922885895,0.9999947547912598,0.4827624559402466,0.3432048559188843,-0.34239789843559265,0.9999949932098389,0.59335857629776,0.4730612337589264,-0.12652333080768585,0.9999785423278809,0.39726880192756653,0.4643361270427704,-0.17224308848381042,0.9999206066131592,0.6189981698989868,0.6744234561920166,-0.028360432013869286,0.9974987506866455,0.3575023412704468,0.6727649569511414,-0.15534763038158417,0.9968499541282654,0.6337547898292542,0.8530680537223816,-0.1327262967824936,0.9971535205841064,0.35610124468803406,0.8612638711929321,-0.2779950201511383,0.992272675037384,0.6434390544891357,0.9096454977989197,-0.1753111630678177,0.9928886890411377,0.35006454586982727,0.9210060238838196,-0.3208029568195343,0.9798743724822998,0.632074773311615,0.9103304743766785,-0.22203275561332703,0.9938963651657104,0.37053656578063965,0.918915867805481,-0.3677191734313965,0.9828921556472778,0.6246464848518372,0.8913136720657349,-0.1520443707704544,0.9944198727607727,0.37717899680137634,0.8987163305282593,-0.2979324162006378,0.9840183258056641,0.5492549538612366,0.8444416522979736,0.010901324450969696,0.9994799494743347,0.4257481098175049,0.8467745184898376,-0.01019798032939434,0.9991427659988403,0.5355594158172607,1.119788408279419,-0.06392967700958252,0.6588853001594543,0.41817912459373474,1.113071084022522,0.06328925490379333,0.5041893720626831,0.530170202255249,1.3324739933013916,0.3471669852733612,0.02353714033961296,0.41486024856567383,1.3340163230895996,0.39914751052856445,0.02803369052708149,0.5286144018173218,1.3606207370758057,0.3809645175933838,0.02698780782520771,0.4133302569389343,1.3641295433044434,0.42777910828590393,0.017450299113988876,0.5201839804649353,1.4258155822753906,0.21957659721374512,0.012196643278002739,0.4271793067455292,1.4255722761154175,0.23857827484607697,0.013540050946176052,swipe_right,ahad,swipe_right
0 days 00:00:00.266666667,0.49924707412719727,0.31258395314216614,-0.42878344655036926,0.9999887943267822,0.512099027633667,0.2881316840648651,-0.40423497557640076,0.999971330165863,0.5181916356086731,0.2884579300880432,-0.404223769903183,0.9999716877937317,0.5255737900733948,0.28889212012290955,-0.40426167845726013,0.9999672770500183,0.48673319816589355,0.28781118988990784,-0.4073682129383087,0.9999732971191406,0.47713372111320496,0.2883434593677521,-0.407287061214447,0.9999749064445496,0.46998605132102966,0.2890967130661011,-0.40742138028144836,0.9999712705612183,0.5345024466514587,0.30114221572875977,-0.23900197446346283,0.9999609589576721,0.4581301510334015,0.3012012839317322,-0.25262200832366943,0.9999780654907227,0.5123264789581299,0.3416181802749634,-0.36503493785858154,0.9999945163726807,0.4828367531299591,0.34371110796928406,-0.36863625049591064,0.9999949336051941,0.5933157801628113,0.47294944524765015,-0.13017144799232483,0.999977707862854,0.3972739577293396,0.4643309414386749,-0.1855132281780243,0.9999226331710815,0.6189397573471069,0.6736384034156799,-0.02724207378923893,0.9973083138465881,0.357504665851593,0.6745229363441467,-0.16458077728748322,0.9968706369400024,0.6392894387245178,0.8522058129310608,-0.13083820044994354,0.9969461560249329,0.35603728890419006,0.861435055732727,-0.292022168636322,0.9923340678215027,0.6494516134262085,0.9096402525901794,-0.171682208776474,0.99240642786026,0.34996727108955383,0.9210031628608704,-0.33523932099342346,0.980027437210083,0.6420382857322693,0.9102791547775269,-0.22101454436779022,0.9934903979301453,0.3702767491340637,0.9189427495002747,-0.3849692642688751,0.9830173254013062,0.6351478099822998,0.8912217020988464,-0.15144036710262299,0.9940543174743652,0.3768869638442993,0.8987866044044495,-0.31302282214164734,0.9840430617332458,0.5490835309028625,0.8455957770347595,0.010809898376464844,0.9994379281997681,0.4255724847316742,0.8478884100914001,-0.010090598836541176,0.9990978240966797,0.5366979837417603,1.1233972311019897,-0.06486616283655167,0.6474347114562988,0.4181736707687378,1.1169322729110718,0.06387622654438019,0.4947596490383148,0.533158540725708,1.3374903202056885,0.3445475697517395,0.02375704050064087,0.41451340913772583,1.3395894765853882,0.4064835011959076,0.02823103591799736,0.5317186117172241,1.3661997318267822,0.37834107875823975,0.027131201699376106,0.4129400849342346,1.37040376663208,0.4352826178073883,0.017410872504115105,0.5233309864997864,1.430641531944275,0.20877747237682343,0.012391996569931507,0.4267405867576599,1.4304920434951782,0.2415594607591629,0.013601710088551044,swipe_right,ahad,swipe_right
0 days 00:00:00.300000,0.49926820397377014,0.31304731965065,-0.4235968589782715,0.9999886751174927,0.5122195482254028,0.2881469428539276,-0.40175291895866394,0.9999714493751526,0.5182600617408752,0.2884710133075714,-0.40174004435539246,0.9999716281890869,0.5256280899047852,0.2888909876346588,-0.40174800157546997,0.9999672770500183,0.48684749007225037,0.28781118988990784,-0.40485724806785583,0.9999735951423645,0.4772107005119324,0.28833895921707153,-0.40472301840782166,0.9999750852584839,0.47010812163352966,0.2890859842300415,-0.4048828184604645,0.9999716877937317,0.5345698595046997,0.3011387288570404,-0.23699675500392914,0.9999605417251587,0.45816344022750854,0.3012322783470154,-0.24978774785995483,0.9999783635139465,0.5123511552810669,0.34203070402145386,-0.3593752086162567,0.9999942779541016,0.48285916447639465,0.3443332612514496,-0.36268100142478943,0.9999948143959045,0.5931675434112549,0.472872257232666,-0.12089360505342484,0.999977171421051,0.3972632884979248,0.4644133448600769,-0.18345235288143158,0.9999243021011353,0.6185977458953857,0.672351062297821,-0.006932956166565418,0.9972544312477112,0.3575141727924347,0.6761600375175476,-0.16156019270420074,0.9969559907913208,0.6480091214179993,0.8503620624542236,-0.10500793159008026,0.9969176054000854,0.3558805286884308,0.8614948987960815,-0.2869687080383301,0.9926009774208069,0.6604255437850952,0.9092965722084045,-0.1436750441789627,0.9923911094665527,0.34977996349334717,0.9209133386611938,-0.32925164699554443,0.980729877948761,0.6554569602012634,0.9097848534584045,-0.19419339299201965,0.9934804439544678,0.36978572607040405,0.9189494848251343,-0.3787672221660614,0.9836003184318542,0.6491003036499023,0.8907060027122498,-0.1265535205602646,0.9940645098686218,0.3762977719306946,0.8988240957260132,-0.30782726407051086,0.984565794467926,0.548976719379425,0.8465911746025085,0.010815042071044445,0.9994223117828369,0.42550039291381836,0.8491753339767456,-0.010092292912304401,0.9990816712379456,0.5404779314994812,1.1258876323699951,-0.07108645886182785,0.6370043754577637,0.41825130581855774,1.1201668977737427,0.06364251673221588,0.48708266019821167,0.5400891900062561,1.3420928716659546,0.33012858033180237,0.02331801876425743,0.4144265353679657,1.3446506261825562,0.4079638421535492,0.02782149612903595,0.5394971966743469,1.370836615562439,0.362893670797348,0.026749661192297935,0.41274988651275635,1.3758296966552734,0.4364939033985138,0.017148252576589584,0.5298840403556824,1.4356746673583984,0.1949305534362793,0.012146089226007462,0.4266180098056793,1.4350059032440186,0.24332328140735626,0.013335706666111946,swipe_right,ahad,swipe_right
